Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes       
"62","IXJ.AX","Isglhltca Etf Units [ixj]",,"ASX","Aus Stocks","AUD","100","89.87","0","2020-03-23 GMT+1100","18:00:00","0","Buy",,,
"63","IXJ.AX","Isglhltca Etf Units [ixj]",,"ASX","Aus Stocks","AUD","100","99.9","0","2021-02-20 GMT+1100","13:17:00",,"Buy",,,
"64","IXJ.AX","Isglhltca Etf Units [ixj]",,"ASX","Aus Stocks","AUD","50","113.15","0","2021-10-07 GMT+1100","08:42:00",,"Buy",,,
"65","IXJ.AX","Isglhltca Etf Units [ixj]",,"ASX","Aus Stocks","AUD","50","112.2","0","2021-10-15 GMT+1100","09:40:00",,"Buy",,,
"66","IXJ.AX","Isglhltca Etf Units [ixj]",,"ASX","Aus Stocks","AUD","50","112.2","0","2021-10-20 GMT+1100","09:00:00",,"Buy",,,
"67","IXJ.AX","Isglhltca Etf Units [ixj]",,"ASX","Aus Stocks","AUD","50","114.7","0","2022-01-26 GMT+1100","04:28:00",,"Buy",,,
"68","IXJ.AX","Isglhltca Etf Units [ixj]",,"ASX","Aus Stocks","AUD","50","136.7","0","2024-11-18 GMT+1100","14:19:00",,"Buy",,,
"69","IXJ.AX","Isglhltca Etf Units [ixj]",,"ASX","Aus Stocks","AUD","400","131.45","0","2025-06-30 GMT+1000","13:43:00",,"Sell","FIFO",,
       
"70","STO.AX","Santos Fpo [sto]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
"71","STO.AX","Santos Fpo [sto]",,"ASX","Aus Stocks","AUD","2000","6.98","0","2023-03-01 GMT+1100","06:55:00",,"Buy",,,
"72","STO.AX","Santos Fpo [sto]",,"ASX","Aus Stocks","AUD","2000","6.98","0","2023-03-15 GMT+1100","07:21:00",,"Buy",,,
"73","STO.AX","Santos Fpo [sto]",,"ASX","Aus Stocks","AUD","2000","6.96","0","2023-03-17 GMT+1100","05:38:00",,"Buy",,,
"74","STO.AX","Santos Fpo [sto]",,"ASX","Aus Stocks","AUD","2000","6.98","0","2023-05-04 GMT+1000","03:53:00",,"Buy",,,
"75","STO.AX","Santos Fpo [sto]",,"ASX","Aus Stocks","AUD","2000","6.975","0","2023-11-18 GMT+1100","10:25:00",,"Buy",,,
